date,place,company_name,budget,status,result,space_flight_name
"Wed Aug 03, 1994 14:38 UTC"," Edwards AFB, California, USA",Northrop,Price: $40.0 million,Status: Retired,Success,Pegasus | APEX
"Tue Aug 02, 1994 20:00 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $0.0 million,Status: Retired,Success,Cosmos-3M | Cosmos 2285
"Fri Jul 29, 1994 09:29 UTC"," Baikonur Cosmodrome, Kazakhstan",VKS RF,Price: $20.0 million,Status: Retired,Success,Soyuz U | Cosmos 2284
"Thu Jul 21, 1994 10:55 UTC"," Xichang Satellite Launch Center, China",CASC,Price: $0.0 million,Status: Retired,Success,Long March 3 | Apstar 1
"Wed Jul 20, 1994 17:34 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $20.0 million,Status: Retired,Success,Soyuz U | Cosmos 2283
"Thu Jul 14, 1994 05:13 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $0.0 million,Status: Retired,Success,Cosmos-3M | Nadiezhda n°7
"Fri Jul 08, 1994 23:05 UTC"," Guiana Space Centre, French Guiana, France",Arianespace,Price: $0.0 million,Status: Retired,Success,Ariane 44L | Panamsat-2 & Yuri-3N
"Fri Jul 08, 1994 16:43 UTC"," Kennedy Space Center, Florida, USA",NASA,Price: $450.0 million,Status: Retired,Success,Space Shuttle Columbia | STS-65
"Wed Jul 06, 1994 23:58 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $0.0 million,Status: Retired,Success,Proton K/Block-DM-2 | Cosmos 2282
"Sun Jul 03, 1994 08:00 UTC"," Jiuquan Satellite Launch Center, China",CASC,Price: $29.75 million,Status: Active,Success,Long March 2D | FSW-2 2
"Fri Jul 01, 1994 12:24 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $40.0 million,Status: Retired,Success,Soyuz U2 | Soyuz TM-19
"Mon Jun 27, 1994 21:15 UTC"," Vandenberg SFB, California, USA",Northrop,Price: $40.0 million,Status: Active,Failure,Pegasus XL | STEP-1
